poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour,wikidata_qid,wikipedia_title,sitelink_count,monthly_pageviews,description_source,hours_source,price_source,drop_reason,wikidata_types
POI0004,PAR,University of Paris,culture,48.848611,2.343611,90,1,4.96,"The University of Paris (French: Université de Paris, pronounced [ynivɛʁsite də paʁi]) was the leading university in Paris, France, from 1150 to 1970, except for 1793–1806 during the French Revolution. Emerging around 1150 as a corporation associated with the cathedral school of Paris, it was considered the second-oldest university in Europe.",9,20,Q209842,University of Paris,86,17334.0,wikipedia,category_default,category_default,university or hospital,former entity; university in France; academic institution
POI0016,PAR,2019 fire at Notre-Dame de Paris,landmark,48.853,2.3498,60,1,4.94,"On 15 April 2019, at 18:18 CEST, a structural fire broke out in the roof space of Notre-Dame de Paris, a medieval Catholic cathedral in Paris, France, part of the ""Paris, Banks of the Seine"" UNESCO World Heritage Site. The fire, which investigators believe was started by a cigarette or an electrical short circuit, destroyed the cathedral's wooden spire (flèche) and most of the wooden roof and severely damaged the cathedral's upper walls.",8,20,Q63167656,Notre-Dame fire,62,25093.0,wikipedia,category_default,category_default,"event, not a place",structure fire
POI0018,PAR,Sciences Po,culture,48.854167,2.328611,90,1,4.89,"Sciences Po (French pronunciation: [sjɑ̃s po]) or Sciences Po Paris, formally known as the Paris Institute of Political Studies (French: Institut d'études politiques de Paris), is a public research university located in Paris, France, which holds the status of grande école and the legal status of grand établissement.",9,20,Q859363,Sciences Po,68,10953.0,wikipedia,category_default,category_default,university or hospital,public university; grand établissement; grande école; academic publisher; organization
POI0040,PAR,ESCP Business School,culture,48.8644,2.380789,90,1,4.71,"ESCP Business School (French: École Supérieure de Commerce de Paris; English: Upper Business School of Paris) is a French business school and grande école founded in Paris and based across Europe with campuses in Paris, Berlin, London, Madrid, Turin, and Warsaw. Established in 1819, it is considered the world's oldest business school. ESCP Business School runs BSc, MBA, Executive MBA, master's degree programs in finance and management, executive education programs, and PhD programs.",9,20,Q29293,ESCP Business School,57,3033.0,wikipedia,category_default,category_default,university or hospital,business school; educational institution; private university
POI0047,PAR,Sorbonne University,culture,48.850623,2.340312,90,1,4.86,"Sorbonne University (French: Sorbonne Université) is a public research university located in Paris, France. The institution's legacy reaches back to the Middle Ages in 1257 when the College of Sorbonne was established by Robert de Sorbon as a constituent college of the University of Paris, one of the first universities in Europe. Its current iteration was formed in 2018 by the merger of Paris-Sorbonne University (Paris IV) and the Université Pierre et Marie Curie (Paris VI).",9,20,Q41497113,Sorbonne University,41,13135.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0055,PAR,University of Paris 1 Pantheon-Sorbonne,culture,48.848333,2.343056,90,1,4.64,"Paris 1 Panthéon-Sorbonne University (French: Université Paris 1 Panthéon-Sorbonne), also known as Paris 1 (or Paris I) and Panthéon-Sorbonne University (or, together with Sorbonne University and Sorbonne Nouvelle University, simply as the Sorbonne), is a public research university in Paris, France.",9,20,Q999763,Paris 1 Panthéon-Sorbonne University,54,2604.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0079,PAR,Pierre and Marie Curie University,culture,48.847222,2.356389,90,1,4.51,"Pierre and Marie Curie University (French: Université Pierre-et-Marie-Curie [ynivɛʁsite pjɛʁ e maʁi kyʁi], UPMC), also known as Paris VI, was a public research university in Paris, France, from 1971 to 2017. The university was located on the Jussieu Campus in the Latin Quarter of the 5th arrondissement of Paris, France. UPMC merged with Paris-Sorbonne University into the new Sorbonne University in 2017.",9,20,Q1144549,Pierre and Marie Curie University,49,1751.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0115,PAR,Panthéon-Assas University Paris,culture,48.846944,2.344722,90,1,4.44,"Paris-Panthéon-Assas University, abbreviated as Assas University (French: Université Paris-Panthéon-Assas) and commonly known as Assas or Paris 2, is a public research university in Paris, France. It is considered the direct successor of the Faculty of Law of Paris, the second-oldest faculty of Law in the world, founded in the 12th century.",9,20,Q662976,Paris-Panthéon-Assas University,43,1559.0,wikipedia,category_default,category_default,university or hospital,university in France; public university
POI0121,PAR,School for Advanced Studies in the Social Sciences,culture,48.83607,2.37205,90,1,4.44,"The School for Advanced Studies in the Social Sciences (French: École des hautes études en sciences sociales, EHESS) is a graduate grande école and grand établissement in Paris focused on academic research in the social sciences. The school awards Master and PhD degrees alone and conjointly with the grandes écoles École normale supérieure, École polytechnique, and École pratique des hautes études.",9,20,Q273518,School for Advanced Studies in the Social Sciences,42,1637.0,wikipedia,category_default,category_default,university or hospital,public university; research institute
POI0130,PAR,Gare Montparnasse,landmark,48.839333,2.318289,60,1,4.6,"Gare Montparnasse (French pronunciation: [ɡaʁ mɔ̃paʁnas]; Montparnasse station), officially Paris Montparnasse and formerly Gare de l'Ouest, is one of the seven large Paris railway termini, and is located in the 14th and 15th arrondissements. The station opened in 1840, was rebuilt in 1852 and relocated in 1969 to a new station just south of the original location, where subsequently the prominent Tour Montparnasse was constructed. It is a central element to the Montparnasse area.",5,1,Q631114,Gare Montparnasse,39,3294.0,wikipedia,osm,category_default,transit station,dead-end railway station; station located on surface; railway station
