poi_id,destination_id,poi_name,category,wikivoyage_name,wikivoyage_type,matched_by
POI0401,BER,Berlin Wall,landmark,Basketball,do,koordinat
POI0403,BER,Führerbunker,history,Johnny's Bar - Karibisches Restaurant,eat,koordinat
POI0404,BER,Pergamon Museum,museum,Pergamon Museum,see,qid
POI0405,BER,Berlin Cathedral,religion,Berliner Dom,see,qid
POI0406,BER,Brandenburg Gate,landmark,Brandenburg Gate,see,qid
POI0407,BER,Berlin Zoological Garden,nature,Berlin Zoo,see,qid
POI0408,BER,Berghain,nightlife,Berghain/Panorama Bar,drink,qid
POI0409,BER,Fernsehturm Berlin,history,Fernsehturm,see,qid
POI0410,BER,Museum Island,culture,Museumsinsel,see,qid
POI0411,BER,Reichstag,landmark,Reichstagsgebäude,see,qid
POI0412,BER,Kaufhaus des Westens,shopping,KaDeWe,buy,qid
POI0413,BER,Kaiser-Wilhelm-Gedächtniskirche,religion,Kaiser Wilhelm Memorial Church,see,qid
POI0414,BER,Neues Museum,museum,Neues Museum,see,qid
POI0415,BER,Großer Tiergarten,nature,Großer Tiergarten,do,qid
POI0416,BER,Memorial to the Murdered Jews of Europe,history,Memorial to the Murdered Jews of Europe,see,qid
POI0418,BER,Altes Museum,museum,Altes Museum,see,qid
POI0419,BER,St. Hedwig's Cathedral,religion,St.-Hedwigs-Kathedrale,see,qid
POI0420,BER,Berlin Palace,landmark,Berlin Palace / Humboldt Forum,see,qid
POI0421,BER,Siegessäule,history,Siegessäule,see,qid
POI0422,BER,Tresor,nightlife,Tresor,drink,qid
POI0424,BER,Bode Museum,museum,Bode-Museum,see,qid
POI0426,BER,Potsdamer Platz,landmark,Midtown Grill,eat,koordinat
POI0427,BER,Marienkirche (Berlin-Mitte),religion,Marienkirche,see,qid
POI0429,BER,Alte Nationalgalerie,museum,Alte Nationalgalerie,see,qid
POI0431,BER,Alexanderplatz,landmark,Weltzeituhr,see,koordinat
POI0432,BER,Treptower Park,nature,Treptower Park,do,qid
POI0433,BER,New Synagogue Berlin,religion,Neue Synagoge,see,qid
POI0434,BER,Berlin-Mitte,culture,Rotes Rathaus,see,koordinat
POI0435,BER,Gemäldegalerie Berlin,museum,Gemäldegalerie,see,qid
POI0437,BER,So36,nightlife,SO36,drink,koordinat
